model_id,model,seed,class_id,class_name,precision,recall,f1_score,support
mobilenet_v3_small,MobileNetV3-Small,123,0,Center,0.9519867549668874,0.8928571428571429,0.9214743589743589,644
mobilenet_v3_small,MobileNetV3-Small,123,1,Donut,0.8333333333333334,0.9036144578313253,0.8670520231213873,83
mobilenet_v3_small,MobileNetV3-Small,123,2,Edge-Loc,0.85,0.7866323907455013,0.8170894526034713,778
mobilenet_v3_small,MobileNetV3-Small,123,3,Edge-Ring,0.9720136518771331,0.9807162534435262,0.9763455605073705,1452
mobilenet_v3_small,MobileNetV3-Small,123,4,Loc,0.8259911894273128,0.6957328385899815,0.7552870090634441,539
mobilenet_v3_small,MobileNetV3-Small,123,5,Near-full,0.9545454545454546,1.0,0.9767441860465116,21
mobilenet_v3_small,MobileNetV3-Small,123,6,Random,0.896,0.8615384615384616,0.8784313725490196,130
mobilenet_v3_small,MobileNetV3-Small,123,7,Scratch,0.5769230769230769,0.25139664804469275,0.35019455252918286,179
mobilenet_v3_small,MobileNetV3-Small,123,8,none,0.9828009828009828,0.9947099516209251,0.9887196081075008,22117
mobilenet_v3_small,MobileNetV3-Small,2026,0,Center,0.9510603588907015,0.90527950310559,0.9276054097056484,644
mobilenet_v3_small,MobileNetV3-Small,2026,1,Donut,0.8222222222222222,0.891566265060241,0.8554913294797688,83
mobilenet_v3_small,MobileNetV3-Small,2026,2,Edge-Loc,0.8351351351351352,0.794344473007712,0.8142292490118577,778
mobilenet_v3_small,MobileNetV3-Small,2026,3,Edge-Ring,0.9596774193548387,0.9834710743801653,0.9714285714285714,1452
mobilenet_v3_small,MobileNetV3-Small,2026,4,Loc,0.8416289592760181,0.6901669758812616,0.7584097859327217,539
mobilenet_v3_small,MobileNetV3-Small,2026,5,Near-full,0.95,0.9047619047619048,0.926829268292683,21
mobilenet_v3_small,MobileNetV3-Small,2026,6,Random,0.8837209302325582,0.8769230769230769,0.8803088803088803,130
mobilenet_v3_small,MobileNetV3-Small,2026,7,Scratch,0.648936170212766,0.3407821229050279,0.4468864468864469,179
mobilenet_v3_small,MobileNetV3-Small,2026,8,none,0.9835177139785909,0.9928561739838133,0.9881648816488164,22117
efficientnet_b0,EfficientNet-B0,42,0,Center,0.9603960396039604,0.9037267080745341,0.9312,644
efficientnet_b0,EfficientNet-B0,42,1,Donut,0.8152173913043478,0.9036144578313253,0.8571428571428571,83
efficientnet_b0,EfficientNet-B0,42,2,Edge-Loc,0.8687150837988827,0.7994858611825193,0.8326639892904953,778
efficientnet_b0,EfficientNet-B0,42,3,Edge-Ring,0.9861782999308915,0.9827823691460055,0.9844774060020697,1452
efficientnet_b0,EfficientNet-B0,42,4,Loc,0.8859060402684564,0.7346938775510204,0.8032454361054767,539
efficientnet_b0,EfficientNet-B0,42,5,Near-full,0.9130434782608695,1.0,0.9545454545454546,21
efficientnet_b0,EfficientNet-B0,42,6,Random,0.9206349206349206,0.8923076923076924,0.90625,130
efficientnet_b0,EfficientNet-B0,42,7,Scratch,0.75,0.6871508379888268,0.717201166180758,179
efficientnet_b0,EfficientNet-B0,42,8,none,0.9857091658453544,0.9948455938870552,0.9902563063975337,22117
efficientnet_b0,EfficientNet-B0,123,0,Center,0.9649415692821369,0.8975155279503105,0.9300080450522928,644
efficientnet_b0,EfficientNet-B0,123,1,Donut,0.8202247191011236,0.8795180722891566,0.8488372093023255,83
efficientnet_b0,EfficientNet-B0,123,2,Edge-Loc,0.8525469168900804,0.8174807197943444,0.8346456692913385,778
efficientnet_b0,EfficientNet-B0,123,3,Edge-Ring,0.9916201117318436,0.977961432506887,0.984743411927878,1452
efficientnet_b0,EfficientNet-B0,123,4,Loc,0.9137931034482759,0.6883116883116883,0.7851851851851852,539
efficientnet_b0,EfficientNet-B0,123,5,Near-full,0.9130434782608695,1.0,0.9545454545454546,21
efficientnet_b0,EfficientNet-B0,123,6,Random,0.8854961832061069,0.8923076923076924,0.8888888888888888,130
efficientnet_b0,EfficientNet-B0,123,7,Scratch,0.743421052631579,0.6312849162011173,0.6827794561933535,179
efficientnet_b0,EfficientNet-B0,123,8,none,0.9843952604515985,0.9954333770402858,0.9898835484016006,22117
efficientnet_b0,EfficientNet-B0,2026,0,Center,0.9515347334410339,0.9145962732919255,0.9326999208234362,644
efficientnet_b0,EfficientNet-B0,2026,1,Donut,0.8210526315789474,0.9397590361445783,0.8764044943820225,83
efficientnet_b0,EfficientNet-B0,2026,2,Edge-Loc,0.8831168831168831,0.7866323907455013,0.832087015635622,778
efficientnet_b0,EfficientNet-B0,2026,3,Edge-Ring,0.9787816563997263,0.9848484848484849,0.9818056985925163,1452
efficientnet_b0,EfficientNet-B0,2026,4,Loc,0.9025522041763341,0.7217068645640075,0.8020618556701031,539
efficientnet_b0,EfficientNet-B0,2026,5,Near-full,0.9545454545454546,1.0,0.9767441860465116,21
efficientnet_b0,EfficientNet-B0,2026,6,Random,0.92,0.8846153846153846,0.9019607843137255,130
efficientnet_b0,EfficientNet-B0,2026,7,Scratch,0.7289156626506024,0.6759776536312849,0.7014492753623188,179
efficientnet_b0,EfficientNet-B0,2026,8,none,0.9852223366620393,0.9947551657096351,0.9899658027357812,22117
