model_id,model,corruption,level,level_index,severity,metric,value_mean,value_sample_std,degradation_from_clean_pp_mean,degradation_from_clean_pp_sample_std,seeds
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,light,0,8,balanced_accuracy,0.7585073951,0.001376141365,2.695033823,0.4012300598,3
resnet18,ResNet18,local_missing,light,0,8,accuracy,0.9766154004,0.000424590105,0.1952999525,0.05643189879,3
resnet18,ResNet18,local_missing,light,0,8,macro_f1,0.8751793314,0.00249395254,1.407582369,0.4069053719,3
resnet18,ResNet18,local_missing,light,0,8,balanced_accuracy,0.8515729675,0.0041940212,2.502095484,0.4194649939,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,accuracy,0.9606059438,0.0006057986218,0.7143866682,0.03497579974,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,macro_f1,0.7578230692,0.003823107459,4.712353701,0.4916416776,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,medium,1,16,balanced_accuracy,0.7092532602,0.006926988975,7.620447315,0.6125255165,3
resnet18,ResNet18,local_missing,medium,1,16,accuracy,0.9711804083,0.000197802931,0.7387991623,0.0364322987,3
resnet18,ResNet18,local_missing,medium,1,16,macro_f1,0.838470031,0.007357872277,5.078512404,0.5859927904,3
resnet18,ResNet18,local_missing,medium,1,16,balanced_accuracy,0.794686069,0.009408949114,8.190785332,1.032396402,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,accuracy,0.9523313932,0.0001459329645,1.54184173,0.04377988934,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,macro_f1,0.6820985694,0.006376969091,12.28480369,0.7535602515,3
standard_shufflenet_v2,Standard ShuffleNetV2,local_missing,heavy,2,24,balanced_accuracy,0.610635194,0.01031334248,17.48225394,1.296781249,3
resnet18,ResNet18,local_missing,heavy,2,24,accuracy,0.9614668054,0.0002994045972,1.710159452,0.03209599506,3
resnet18,ResNet18,local_missing,heavy,2,24,macro_f1,0.7723464403,0.007945967913,11.69087148,0.6732964768,3
resnet18,ResNet18,local_missing,heavy,2,24,balanced_accuracy,0.706527137,0.0104128781,17.00667854,1.157762743,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,accuracy,0.9685978234,0.0005133044072,-0.08480129515,0.0154184173,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,macro_f1,0.8062088733,0.00363573812,-0.1262267082,0.4867107197,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,light,0,2,balanced_accuracy,0.7888219349,0.007285941646,-0.3364201514,0.7609225297,3
resnet18,ResNet18,rotation,light,0,2,accuracy,0.9787739789,0.0002225456845,-0.02055788973,0.01821614935,3
resnet18,ResNet18,rotation,light,0,2,macro_f1,0.8899075798,0.001275581232,-0.06524247482,0.09999041596,3
resnet18,ResNet18,rotation,light,0,2,balanced_accuracy,0.8772583907,0.001216110739,-0.06644683277,0.1797987038,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,accuracy,0.9691631654,0.0004024325062,-0.1413354919,0.0197802931,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,macro_f1,0.8100278686,0.003811226112,-0.5081262414,0.2737234274,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,medium,1,5,balanced_accuracy,0.7983245527,0.001791797873,-1.286681929,0.381733107,3
resnet18,ResNet18,rotation,medium,1,5,accuracy,0.9785298539,0.0007065606437,0.003854604325,0.08610533826,3
resnet18,ResNet18,rotation,medium,1,5,macro_f1,0.8882772047,0.004824530318,0.09779503292,0.5946531932,3
resnet18,ResNet18,rotation,medium,1,5,balanced_accuracy,0.8741497615,0.00575428497,0.2444160837,0.4693616859,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,accuracy,0.9680710275,0.0004263361992,-0.03212170271,0.07255808454,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,macro_f1,0.8063261521,0.004594763968,-0.1379545915,0.3279068662,3
standard_shufflenet_v2,Standard ShuffleNetV2,rotation,heavy,2,10,balanced_accuracy,0.7903081778,0.002318677228,-0.485044439,0.07304688105,3
resnet18,ResNet18,rotation,heavy,2,10,accuracy,0.9779259659,0.0002323445158,0.06424340541,0.01239081931,3
resnet18,ResNet18,rotation,heavy,2,10,macro_f1,0.8887977429,0.00281783314,0.04574121886,0.1645691446,3
resnet18,ResNet18,rotation,heavy,2,10,balanced_accuracy,0.8740293508,0.001654046979,0.256457151,0.06563733262,3
