track,model,metric,mean,std,per_seed
track_B,resnet18,mean,0.7806935563475356,0.002280828098165174,"{'42': 0.7783481736727106, '123': 0.7808286726780919, '2026': 0.7829038226918044}"
track_C,highres,accuracy,0.8239966729049698,0.007924691463648447,"{'42': 0.8284466625077979, '123': 0.8148471615720524, '2026': 0.8286961946350593}"
track_C,highres,balanced_accuracy,0.8145533321966819,0.011411730693199909,"{'42': 0.8215585091267935, '123': 0.8013851749668046, '2026': 0.8207163124964479}"
track_C,highres,macro_f1,0.8236920434043847,0.009553104546070617,"{'42': 0.8297165869569838, '123': 0.8126772431085931, '2026': 0.828682300147577}"
track_C,standard,accuracy,0.5787897691827824,0.04433463364911262,"{'42': 0.6219588271990019, '123': 0.5333749220212103, '2026': 0.5810355583281347}"
track_C,standard,balanced_accuracy,0.5974324223474835,0.043943454716772475,"{'42': 0.6398469774546931, '123': 0.5521050007491566, '2026': 0.6003452888386006}"
track_C,standard,macro_f1,0.5805361506381844,0.04139683373085839,"{'42': 0.6194387074131037, '123': 0.5370299112193497, '2026': 0.5851398332820996}"
track_C,resnet18,accuracy,0.6364316905801622,0.037050059355000026,"{'42': 0.6637554585152838, '123': 0.5942607610729882, '2026': 0.6512788521522146}"
track_C,resnet18,balanced_accuracy,0.6455234698405645,0.03338141896409671,"{'42': 0.6722113086473332, '123': 0.6080934844046272, '2026': 0.6562656164697331}"
track_C,resnet18,macro_f1,0.6503523171137399,0.038260164597169806,"{'42': 0.6823830176745974, '123': 0.6079861440532149, '2026': 0.6606877896134074}"
